user_id,name,phone,age,sex,home_latitude,home_longitude
100,Jocelyn Landry,(03) 7240 3638,54,F,16.66976733,96.21052833
101,Maxine Roman,(05) 2192 0380,60,F,16.97157167,96.12014491
102,Nola Gilliam,(09) 6722 2685,33,M,16.86362813,96.15707241
103,Leah Marsh,(08) 8634 7380,24,F,16.96641978,96.18012131
104,Naomi Key,(09) 6376 6743,14,F,16.84480646,96.00860818
105,Mikayla Wyatt,(01) 5445 9806,27,F,16.97861909,96.18927243
106,Iliana Juarez,(01) 1596 1282,30,M,16.7510222,96.03473494
107,Lael Suarez,(04) 5157 3412,47,F,16.8237121,96.01880668
108,Zena Becker,(04) 8332 4571,39,M,16.98364191,96.19748778
109,Macey Rasmussen,(01) 5431 5498,50,F,16.84020577,96.20307844
110,Wilma Burt,(02) 7835 9003,28,M,16.81979999,96.21161913
111,Mechelle Robles,(01) 1259 8826,19,M,16.67793936,96.11316351
112,Bianca Herman,(06) 4258 1085,32,M,16.76385262,96.25636245
113,Cora Hernandez,(08) 5413 1777,23,M,16.87606134,96.2076168
114,Charlotte Garza,(02) 8026 5892,33,M,16.81505,96.12095913
115,Margaret Ramos,(07) 7729 8884,36,F,16.78734794,96.05067769
116,Willow Velasquez,(03) 4284 1881,30,F,16.92384126,96.15789889
117,Judith Lyons,(01) 7823 9760,51,M,16.81458943,96.2996645
118,Jessica Norris,(04) 8822 9554,37,M,16.70958863,96.17645498
119,Sara Morgan,(02) 8601 1920,20,F,16.93691035,96.09253661
120,Shelley Browning,(05) 7394 1686,19,M,16.78122983,96.01337658
121,Sarah Guerrero,(09) 6007 5095,46,F,16.72217358,96.16578649
122,Lydia Franks,(06) 9436 3041,16,M,16.7270814,96.03941782
123,Jaime Romero,(03) 7597 3949,47,F,16.6670789,96.20781845
124,Quyn Francis,(05) 0260 9223,57,M,16.71595612,96.22976913
125,Katelyn Glass,(06) 5387 9551,40,F,16.89972687,96.02339389
126,Bo England,(06) 9552 4597,39,F,16.89888164,96.11118937
127,Macey Larson,(04) 0053 6496,36,F,16.89331623,96.08335605
128,Colleen Montoya,(03) 0725 6883,47,M,16.76122424,96.13428108
129,Ila House,(09) 0115 5030,27,F,16.92246127,96.21131495
130,Nevada Camacho,(01) 0191 7505,36,F,16.80888897,96.0807016
131,Nora Farmer,(02) 3752 1780,40,M,16.96371129,96.1689449
132,Aiko Lloyd,(06) 7106 6822,45,F,16.72997697,96.16224311
133,Doris Cote,(07) 0984 4948,53,F,16.82114972,95.9982476
134,Fallon Lindsay,(07) 2710 6250,42,F,16.92836123,96.10565471
135,Minerva Becker,(06) 5415 2200,27,F,16.85957745,96.31032802
136,Ivy Bender,(03) 1723 1002,41,F,16.89845946,96.01626283
137,Xaviera Nielsen,(06) 1276 0266,21,F,16.72559461,96.20858726
138,Daria Donaldson,(01) 7800 7859,36,F,16.93705495,96.09438662
139,Quynn Fox,(06) 2966 2332,58,F,16.84171343,96.1046063
140,Bell Potter,(05) 9089 9911,43,M,16.87286399,96.28735022
141,Ivy Langley,(05) 8994 1400,36,F,16.76596182,96.27252579
142,Phyllis Roy,(09) 8944 2068,12,F,16.67957454,96.23522397
143,Isabella Mcfarland,(06) 1428 0072,38,M,16.70907437,96.10375841
144,Bethany Chen,(09) 3612 6362,49,F,16.65435372,96.13152878
145,Linda Guthrie,(02) 9714 0974,59,M,16.98262591,96.20630609
146,Natalie Meyers,(04) 5128 3809,22,M,16.77478518,96.03276169
147,Keelie Baker,(06) 5643 5624,56,F,16.83975398,96.16292555
148,Bryar Bernard,(09) 8288 9260,34,F,16.92116587,96.04182141
149,Evangeline Patton,(07) 2407 9850,19,F,16.93284757,96.26957541
150,Irma Beck,(07) 2237 5791,45,M,16.93452509,96.20377173
151,Hannah Willis,(06) 9810 6940,50,F,16.76902265,96.32785943
152,Beverly Leach,(07) 1132 4483,54,M,16.95560827,96.09501366
153,Aretha Mitchell,(05) 8836 0267,21,M,16.79403303,96.03061227
154,Gemma Nicholson,(04) 5097 8029,50,M,16.71228089,96.22725955
155,Maryam Norris,(09) 7154 5662,56,F,16.9867834,96.24250269
156,Chiquita Salinas,(07) 8158 0769,26,M,16.84121482,96.09212112
157,Cameran Lang,(05) 0457 6977,29,M,16.6881939,96.13203063
158,Danielle Orr,(01) 4593 7446,29,M,16.75817631,96.14656078
159,Xyla Roy,(08) 6375 5620,49,F,16.88051866,96.21579729
160,Maryam Stuart,(04) 1094 3925,25,M,16.92074728,96.03863251
161,Quinn Hunt,(06) 2752 3765,32,F,16.69591936,96.08321033
162,Raya Ramirez,(02) 4398 8289,51,M,16.84553185,96.11018439
163,Gemma Howard,(07) 8593 3435,54,M,16.72678885,96.3147396
164,Autumn Bird,(07) 0113 9057,40,F,16.68251994,96.07890645
165,Jaden Pacheco,(04) 5476 9736,46,F,16.86637789,96.07790572
166,Aline Orr,(01) 4703 7537,43,F,16.94125551,96.13932172
167,Ocean Richard,(02) 9210 6060,60,M,16.8529077,96.02067625
168,Rinah Wallace,(02) 4303 1123,38,F,16.79498695,96.00435714
169,Kai Morton,(04) 1172 7453,15,M,16.66581517,96.18546429
170,Evangeline Monroe,(07) 4979 8840,60,M,16.85165421,96.19186226
171,Holly Davenport,(08) 4745 2697,59,M,16.79502488,96.20116302
172,Nicole Benton,(01) 2354 3552,25,F,16.8710644,96.17417267
173,Evelyn French,(02) 7218 3720,42,M,16.71664436,96.20628019
174,Debra Swanson,(07) 9667 3855,41,F,16.73564899,96.05333682
175,Mia Dean,(08) 6275 5858,40,M,16.95286672,96.05197772
176,Roanna Coleman,(09) 2327 5058,26,M,16.91961402,96.16865957
177,Alexandra Sweet,(01) 2617 0847,14,F,16.81460816,96.16549774
178,Quemby Hutchinson,(06) 9617 1175,49,F,16.91603163,96.26382919
179,Aline Robbins,(05) 8269 5348,30,F,16.77487049,96.28698335
180,Ignacia Dorsey,(01) 5884 0986,45,F,16.81459061,96.02525782
181,Deborah Gaines,(01) 9279 2050,18,F,16.72788292,96.05079438
182,Astra Smith,(07) 5314 6082,23,F,16.96171808,96.22091872
183,Shaeleigh Boyle,(04) 4270 6919,20,F,16.78871314,96.10070525
184,Jorden Houston,(01) 2144 6641,42,M,16.82625528,96.20663879
185,Sigourney Mooney,(01) 6886 2403,58,F,16.8178209,96.02013799
186,Avye Sims,(06) 9077 4802,28,F,16.97043803,96.137049
187,McKenzie Yang,(02) 0485 7231,54,M,16.98606355,96.16160463
188,Karleigh Ochoa,(06) 2267 1647,21,M,16.87282814,96.18288863
189,Lucy Pruitt,(04) 2515 1828,57,F,17.00278208,96.14430065
190,Caryn Kane,(02) 1310 1719,51,M,16.71138791,96.29890353
191,Bethany Potter,(04) 3036 0110,52,F,16.80779856,95.98907479
192,Maxine Wood,(03) 6062 0727,13,F,16.91499505,96.18274041
193,Ayanna Guerra,(02) 6995 3174,12,M,16.68423249,96.19178874
194,Helen Becker,(09) 1071 9100,34,M,16.88373261,96.10568855
195,Zena Steele,(01) 8765 0038,51,F,16.65139003,96.13817081
196,Lysandra Moses,(08) 6126 8486,23,M,16.78076201,96.00563444
197,Alma Salas,(08) 9202 8718,27,M,16.80820312,96.12307802
198,Hedwig Stafford,(09) 2409 1341,24,F,16.91897111,96.16452053
199,Courtney Durham,(02) 1988 7433,34,F,16.85235084,96.188607
200,Meredith Dickerson,(05) 9042 1335,36,M,16.93078106,96.19258723
201,Sydney Michael,(04) 6081 7466,15,F,16.91138817,96.16513931
202,Charde Sanford,(08) 6823 2616,54,M,16.63905503,96.26299357
203,Hayley Vasquez,(02) 7026 9912,12,M,16.78502268,96.26013027
204,Kim Bender,(09) 0729 1094,26,F,16.71648335,96.32076075
205,Brenda Emerson,(05) 9368 0154,56,M,16.76544052,96.26022656
206,Lana Wright,(02) 0150 7940,59,F,16.73612023,96.20126779
207,Emily Garrett,(09) 6352 4539,33,F,16.76329748,96.35615231
208,Cherokee Mccullough,(09) 3265 7562,53,F,16.8712817,96.11006273
209,Vanna Powell,(06) 0175 6529,59,M,16.75880151,96.18358541
210,Karleigh Cross,(08) 4140 0810,29,M,16.86863237,96.16339659
211,Francesca Wilder,(02) 5130 0081,40,F,16.74929113,96.24810258
212,Shaine Lindsay,(02) 4729 2390,57,M,16.83769962,96.03081603
213,Wanda Hamilton,(09) 2934 1746,25,M,16.77706246,96.1666704
214,Uta Leblanc,(02) 8017 5209,50,M,16.89094066,96.14446513
215,Dakota Salazar,(09) 2704 9050,34,F,16.79664398,96.32823933
216,Hanae Dorsey,(09) 0552 5069,39,F,16.93859391,96.2563867
217,Kristen Patel,(08) 1751 1182,36,F,16.67889618,96.11951065
218,Alana Trevino,(02) 4159 9813,32,M,16.7491802,96.29982671
219,Hayley Freeman,(05) 8302 5178,36,M,16.66549596,96.32133382
220,Sandra Booker,(08) 2304 1260,60,M,16.75918503,96.34063317
221,Josephine Stevenson,(04) 8452 9390,51,M,16.85591104,96.2869276
222,Judith Montgomery,(09) 8713 7685,36,F,16.75518823,96.20590329
223,Natalie Foreman,(07) 5423 6880,34,F,16.61781106,96.17976785
224,Xantha Weeks,(08) 2218 0132,17,F,16.87901502,96.33073367
225,Maris Hoffman,(09) 0020 6966,45,M,16.76286153,96.22145737
226,Juliet Mcconnell,(01) 5969 7836,51,M,16.80051604,96.0702997
227,Amaya Guthrie,(04) 2874 3373,47,F,16.80750261,96.30499742
228,Shelly Rich,(06) 8027 1204,53,M,16.94776058,96.15630992
229,Adrienne Davenport,(02) 9904 8470,37,M,16.8626124,96.12979616
230,Riley Ellis,(08) 0482 3130,25,F,16.95757332,96.25438941
231,Dana Stout,(04) 3154 1813,19,M,16.86542957,96.17559325
232,Calista Herman,(03) 8825 4235,26,M,16.95440018,96.26771653
233,Carla Randolph,(07) 2948 8114,42,F,16.93722392,96.23652767
234,Aretha Taylor,(03) 9795 1083,54,F,16.68148209,96.11715202
235,Bree English,(09) 4904 4383,26,M,16.84213808,96.03591404
236,Rhoda Ashley,(07) 6342 0539,15,F,16.78900574,96.17674095
237,Maris Snow,(04) 0941 3135,21,M,16.89957419,96.26652192
238,Azalia Garcia,(02) 2607 6153,15,F,16.74625799,96.29170794
239,Haviva Hood,(02) 6990 4326,50,M,16.68787757,96.11108089
240,Chloe Jacobs,(08) 0035 0474,25,M,16.73479125,96.0884764
241,Rae Raymond,(07) 2514 5039,39,M,16.7105406,96.34055289
242,Diana Hurst,(06) 8117 2145,45,F,16.66329307,96.26736593
243,Marcia Battle,(07) 9074 6480,46,F,16.82420723,96.01842919
244,Jolie Kirk,(07) 8719 1708,54,M,16.78070845,96.30426791
245,Ulla Greene,(08) 3159 5319,19,F,16.67339928,96.23425274
246,Alea Franklin,(04) 0451 6408,45,F,16.77979022,96.16844711
247,Felicia Russo,(03) 6725 7354,30,M,16.74747852,96.26499715
248,Aiko Flores,(06) 0608 2291,23,M,16.68488128,96.27423512
249,Alea Blevins,(01) 5533 4719,50,M,16.76992614,96.37462904
250,Camilla Mcdonald,(08) 8557 1617,18,M,16.78476542,96.04039357
251,Sybil Olson,(01) 0353 9299,44,F,16.80036842,96.15801809
252,Jena Cantu,(06) 7251 0233,23,M,16.90003931,96.24964715
253,Simone Clay,(07) 1189 5952,26,F,16.82698772,96.3388688
254,Sarah Atkinson,(01) 3248 4216,59,F,16.76722283,96.19850522
255,Petra Vang,(08) 7485 5668,56,M,16.73372145,96.18756368
256,Ariana Frazier,(04) 7073 9196,33,F,16.91685905,96.17339975
257,Maya Alexander,(02) 7118 2409,57,F,16.75358987,96.0583412
258,Vera Dejesus,(06) 0683 0721,48,M,16.74448605,96.22107998
259,Colette Joseph,(08) 9500 1475,15,M,16.75450864,96.35893216
260,Aimee Miles,(03) 3606 5000,20,F,16.73807235,96.26056028
261,Cleo Burris,(04) 5919 9369,45,M,16.72414646,96.04423013
262,Idola Coleman,(05) 8951 1098,46,F,16.93093121,96.25300744
263,Lani Wallace,(01) 0151 1044,45,M,16.80117668,96.15255191
264,Zorita Grimes,(09) 7938 9437,45,M,16.82322453,96.05716138
265,Chloe Carson,(03) 9742 4387,15,F,16.75237631,96.24958731
266,Candice England,(02) 5405 9452,57,M,16.8705019,96.30254477
267,Bree Valentine,(02) 6791 3725,45,F,16.77416003,96.36662883
268,Autumn Cooley,(02) 2796 4342,40,F,16.9505715,96.24465738
269,Kay Farrell,(09) 2083 0489,19,M,16.68688538,96.15503137
270,Halla Sosa,(05) 2655 6408,12,F,16.62457798,96.20430654
271,Ursula Tillman,(06) 9219 1740,55,F,16.87845325,96.25991796
272,Hadley Pennington,(01) 8304 7101,38,F,16.82541541,96.07631306
273,Serena Stuart,(01) 1469 4377,22,F,16.66461513,96.15347596
274,Ora Page,(06) 1881 6933,29,F,16.69762517,96.29370986
275,Iola Wells,(06) 3229 3424,50,F,16.87036277,96.15958248
276,Keiko Mccray,(03) 2516 2525,31,M,16.88571245,96.25276583
277,Venus Hooper,(07) 0006 5019,38,M,16.82750284,96.36469852
278,Blossom Mullen,(02) 8251 0744,17,M,16.73269121,96.19072549
279,Linda Barlow,(05) 1838 2789,52,F,16.8594786,96.23817441
280,Noel Spence,(06) 8885 6341,37,M,16.7549829,96.13555718
281,Miriam Salinas,(04) 7824 3172,50,F,16.88638804,96.23742756
282,Anjolie Parsons,(06) 7030 6358,46,M,16.85437954,96.33625858
283,Tatyana Ayers,(05) 4602 1682,14,F,16.74193958,96.33164129
284,Signe Conway,(02) 7785 7900,45,M,16.71356344,96.28862278
285,Naomi Dorsey,(03) 9971 3567,14,M,16.72949328,96.32519179
286,Xantha Hendricks,(06) 5702 5398,22,M,16.83517109,96.2257806
287,Tashya Vasquez,(08) 4814 1979,45,F,16.81153914,96.22773043
288,Shea Watts,(08) 2655 3671,12,M,16.77999566,96.3167852
289,Robin Barlow,(03) 4287 8612,33,M,16.89753805,96.09806236
290,Justina Pace,(03) 7400 1266,23,F,16.8009952,96.0792932
291,Gisela Dickerson,(05) 5375 0950,47,M,16.69546875,96.28629398
292,Dacey Burns,(04) 4195 7875,16,M,16.6935804,96.1914059
293,Iliana Simpson,(06) 4866 8520,29,M,16.85902887,96.22886326
294,Dara Wall,(04) 9453 8504,17,M,16.69538304,96.224194
295,Unity Mills,(08) 0398 9606,36,M,16.71788716,96.29962311
296,Georgia Smith,(02) 5792 6433,57,M,16.77202549,96.07076166
297,Darrel Hess,(01) 6551 4128,27,F,16.79940976,96.35010063
298,Penelope Peters,(08) 8353 0259,25,F,16.73171287,96.02223563
299,Sigourney Pate,(02) 6512 6064,59,F,16.68990668,96.18392346
300,Kylee Butler,(07) 4902 9540,25,M,16.86954068,96.20331715
301,Camille Ramirez,(01) 2510 4641,31,F,16.74816021,96.09993442
302,Wendy Delaney,(02) 7870 0076,35,F,16.91550184,96.05991684
303,Claudia Haney,(08) 7438 4818,50,M,16.75164972,95.9985211
304,Basia Chen,(07) 1767 7647,47,F,16.82125405,96.0575472
305,Denise Rasmussen,(08) 6574 5735,18,F,16.874297,96.03778709
306,Kevyn Ford,(03) 8488 2515,50,F,17.00979779,96.09613879
307,Madeline Fuentes,(05) 5921 3009,19,M,16.83973436,96.06558771
308,Melinda Dalton,(01) 3217 1780,43,F,16.82460948,96.07645294
309,Rebekah Palmer,(02) 1261 8126,27,F,16.94032214,96.04491951
310,Tanya Puckett,(08) 4130 1647,17,F,16.92861184,96.29105192
311,Rosalyn Cohen,(09) 8525 9685,43,F,16.90489566,96.23924766
312,Pandora Reyes,(03) 1884 8644,49,F,16.75621121,96.07693726
313,Cameran Rivers,(06) 0508 0215,16,F,17.0016261,96.04823545
314,Frances Ellison,(04) 1204 8764,55,F,16.91383336,96.27347103
315,Shoshana Tucker,(06) 5183 8821,50,F,16.77323925,95.98742267
316,Denise Sharp,(04) 7024 5038,28,M,16.81239879,96.06387093
317,Mira Bennett,(01) 3488 2472,12,M,16.9329229,96.12656655
318,Sydnee Hamilton,(06) 5047 2638,38,M,16.94222617,96.02165103
319,Basia Warner,(05) 6767 9395,59,F,16.90470788,95.93434002
320,Kathleen Castillo,(04) 7251 5091,40,M,16.97801995,95.98162661
321,Mercedes Alston,(09) 9036 1136,39,M,17.03252654,96.17501583
322,Brianna Mendoza,(08) 2209 3017,15,F,16.78001081,96.23194746
323,Alfreda Ramirez,(09) 3590 2766,43,F,16.88823844,96.03395283
324,Melissa Woodard,(01) 3513 2399,26,M,16.87088206,96.22439406
325,Nayda Russell,(01) 9321 4897,28,F,16.78276231,96.03240347
326,Hayley Mckee,(01) 9727 6538,30,M,16.91174293,96.23066696
327,Carissa Boyer,(05) 6898 6913,13,F,16.81026501,96.07826542
328,Hermione Nielsen,(04) 0148 2455,34,F,16.78407938,96.08844545
329,Regan Reeves,(01) 9733 2510,53,F,16.86965166,96.0210654
330,Claudia Briggs,(01) 5833 3769,26,M,16.71345016,96.14603282
331,Sybill Blankenship,(02) 5701 8575,47,F,16.84922688,95.96215368
332,Winter Evans,(07) 3105 9943,26,F,17.01464647,96.16196235
333,Paula Hurst,(05) 1044 7162,17,M,16.73817624,96.01162596
334,Xandra Leblanc,(01) 6497 1859,12,M,16.80984458,96.20009089
335,Miranda Weber,(09) 9277 7056,30,F,16.90483153,96.26188075
336,Georgia Barnes,(06) 4661 9070,41,M,16.7536931,96.22786711
337,May Reynolds,(06) 4144 9015,47,M,16.92493946,96.02941021
338,Melodie Bray,(08) 7122 3186,39,F,16.96181334,96.09767273
339,Teagan Joyce,(05) 4808 4804,17,M,16.7470844,96.17359574
340,Ruby Cleveland,(08) 0128 3044,36,M,16.84791653,96.29589473
341,Mollie Rich,(04) 0672 3079,50,F,16.96726696,96.12912012
342,Sara Fox,(08) 2383 6823,19,F,16.90100703,96.23307469
343,Olga Stein,(01) 4290 0326,35,F,16.86216136,96.1268832
344,Georgia Oliver,(08) 3401 8434,28,M,16.84730595,96.1153273
345,Eleanor Walls,(03) 8516 4806,13,M,16.77830609,96.23320829
346,Sylvia Battle,(02) 8948 0801,35,F,16.97433058,95.9876761
347,Venus Rojas,(02) 6007 5980,49,F,16.72150076,96.11573012
348,Whilemina Burris,(09) 5403 2598,22,M,16.78335416,96.19958941
349,Alexis Hebert,(09) 8107 0235,16,F,16.79344575,96.08982993
350,Ainsley Bonner,(02) 0155 8594,24,F,16.86801245,96.1933433
351,Zephr Mejia,(08) 0114 3879,47,M,16.86115312,96.12928356
352,Cassandra Mcintosh,(08) 2166 6120,30,M,17.02008872,96.06154482
353,Quinn Zimmerman,(09) 9757 2448,26,F,16.88307506,96.26802484
354,Wendy Harrington,(01) 8972 0368,43,F,17.02976525,96.05712755
355,Lana Mcleod,(02) 0778 2885,24,M,16.78204625,96.24358043
356,Candice Morse,(03) 8239 5469,53,M,16.86769963,95.93926102
357,Willow Bray,(08) 7843 7562,18,M,16.84566651,96.21469901
358,Shelley Mcdaniel,(01) 9385 8419,33,M,16.88964585,96.15107092
359,Joelle Moreno,(02) 0901 6471,30,M,16.8986743,96.0906132
360,Rhonda Savage,(09) 1685 4109,22,M,16.86039937,96.02663542
361,Hadassah Whitehead,(08) 7907 9571,37,M,16.94317952,96.21365928
362,Velma Hicks,(01) 5699 2602,27,F,16.91093781,96.1250306
363,Mara Francis,(04) 5865 7674,45,F,16.84396139,96.30143495
364,Sonya Walsh,(09) 9741 8375,43,M,16.88214078,96.05537628
365,Ursa Faulkner,(06) 1837 9859,29,F,16.93398784,96.14101805
366,Kalia Sanford,(02) 2790 5250,21,F,16.71005685,96.08540881
367,Sydney Fischer,(08) 0798 7069,52,M,16.81412755,96.1598198
368,Charissa Noel,(08) 6697 4753,48,F,16.90777217,95.98498519
369,Lynn Hernandez,(07) 7625 6666,56,M,16.81660193,96.00831599
370,Tatum Campos,(03) 2607 0064,18,M,16.78185997,95.97245194
371,Alisa Eaton,(01) 2815 0469,55,F,16.79750017,96.18392246
372,Blythe Wallace,(09) 8285 0114,13,M,16.86510699,96.13811446
373,Cora Hill,(08) 7909 8795,21,F,16.74094435,96.1813268
374,Gretchen Conway,(05) 4574 7764,35,F,16.88434456,96.08499648
375,Alyssa Mays,(06) 0062 6561,40,F,16.90440747,96.23094743
376,Angelica Kelley,(05) 0571 8692,53,M,16.87179677,96.00206264
377,Scarlet Delgado,(04) 7214 7769,26,M,16.82901121,96.26030407
378,Chanda Flowers,(09) 6449 0453,17,F,16.99531406,96.04495382
379,Erica Herman,(07) 6808 9327,26,M,16.90244396,96.02130564
380,Selma Dotson,(09) 0760 5969,34,F,17.01809322,96.12501389
